Brand,Year,Model,UsedOrNew,Transmission,EngineDisplacement(L),DriveType,FuelType,FuelConsumption(L)/100km,Kilometers,CylindersinEngine,BodyType,State
Toyota,2017,Kluger,USED,Automatic,3.5,Front,Unleaded,9.1,133090,6,SUV,VIC
BMW,2017,X4,USED,Automatic,3.0,AWD,Premium,8.3,93692,6,SUV,VIC
Volkswagen,2011,Golf,USED,Automatic,1.4,Front,Premium,6.2,159000,4,Wagon,VIC
Nissan,2017,Qashqai,USED,Automatic,2.0,Front,Unleaded,6.9,40273,4,SUV,QLD
Mitsubishi,2022,Outlander,USED,Automatic,2.5,Front,Unleaded,7.7,21234,4,SUV,QLD
Audi,2009,A3,USED,Automatic,2.0,Front,Premium,7.6,109012,4,Convertible,VIC
Subaru,2019,Forester,USED,Automatic,2.5,AWD,Unleaded,7.4,80256,4,SUV,QLD
Volkswagen,2017,Polo,USED,Automatic,1.2,Front,Premium,4.8,44765,4,Hatchback,VIC
Holden,2016,Commodore,USED,Automatic,3.6,Rear,Premium,11.7,119895,6,Wagon,VIC
Lexus,2014,RX450H,USED,Automatic,3.5,4WD,Premium,6.4,101688,6,SUV,VIC
Honda,2010,Civic,USED,Automatic,1.8,Front,Unleaded,7.2,98845,4,Sedan,VIC
Toyota,2021,RAV4,USED,Automatic,2.5,AWD,Hybrid,4.8,58142,4,SUV,QLD
Kia,2020,Sorento,USED,Automatic,3.5,Front,Unleaded,9.7,68015,6,SUV,QLD
Mitsubishi,2022,Outlander,USED,Automatic,2.5,Front,Unleaded,7.7,19351,4,SUV,QLD
Mercedes-Benz,2015,CLS250,USED,Automatic,2.1,Rear,Diesel,5.4,89170,4,Sedan,QLD
Toyota,2018,RAV4,USED,Automatic,2.5,AWD,Unleaded,8.5,44321,4,SUV,QLD
Ford,2019,Everest,USED,Automatic,2.0,4WD,Diesel,7.0,29889,4,SUV,VIC
Hyundai,2017,Santa,USED,Automatic,3.3,Front,Unleaded,10.5,141007,6,SUV,VIC
Lexus,2005,RX330,USED,Automatic,3.3,4WD,Unleaded,17.2,242545,6,SUV,VIC
Toyota,2017,Hilux,USED,Manual,2.4,4WD,Diesel,7.7,68666,4,Ute / Tray,QLD
Mazda,2017,BT-50,USED,Automatic,3.2,Rear,Diesel,8.9,105532,5,Ute / Tray,QLD
Holden,2018,Colorado,USED,Automatic,2.8,Rear,Diesel,8.9,126093,4,Ute / Tray,QLD
Ford,2021,Everest,USED,Automatic,2.0,Rear,Diesel,7.0,21400,4,SUV,VIC
Nissan,2021,Juke,USED,Automatic,1.0,Front,Premium,5.8,21444,3,SUV,VIC
Genesis,2019,G80,USED,Automatic,3.8,Rear,Unleaded,10.4,44358,6,Sedan,VIC
Nissan,2015,Qashqai,USED,Automatic,1.6,Front,Diesel,4.9,115851,4,SUV,QLD
Holden,2015,Captiva,USED,Automatic,2.2,AWD,Diesel,8.1,96024,4,SUV,QLD
Mercedes-Benz,2022,S450,USED,Automatic,3.0,AWD,Hybrid,8.6,6278,6,Sedan,VIC
Hyundai,2020,Kona,USED,Automatic,2.0,Front,Unleaded,7.2,57059,4,SUV,QLD
Mercedes-Benz,2014,GLA250,USED,Automatic,2.0,AWD,Premium,7.0,125283,4,SUV,VIC
Land,2017,Rover,USED,Automatic,2.0,AWD,Diesel,5.3,64683,4,SUV,QLD
Mercedes-Benz,2021,GLC,USED,Automatic,2.0,Rear,Premium,7.8,23721,4,SUV,VIC
Ford,2022,Puma,USED,Automatic,1.0,Front,Premium,5.3,14940,3,SUV,QLD
Volkswagen,2019,Tiguan,USED,Automatic,2.0,AWD,Premium,8.3,51898,4,SUV,VIC
Ford,2018,Everest,USED,Automatic,3.2,4WD,Diesel,8.5,152575,5,SUV,VIC
Kia,2017,Carnival,USED,Automatic,3.3,Front,Unleaded,11.6,61291,6,Wagon,VIC
Holden,2015,UTE,USED,Automatic,3.6,Rear,Unleaded,9.9,133684,6,Ute / Tray,QLD
Mazda,2022,2,USED,Manual,1.5,Front,Unleaded,4.9,8034,4,Hatchback,VIC
Mazda,2010,3,USED,Automatic,2.0,Front,Unleaded,8.2,158790,4,Hatchback,VIC
Ram,2021,1500,USED,Automatic,5.7,4WD,Premium,12.2,72122,8,Commercial,VIC
Kia,2020,Picanto,USED,Automatic,1.2,Front,Unleaded,5.8,22955,4,Hatchback,QLD
BMW,2019,X3,USED,Automatic,2.0,4WD,Premium,7.6,81568,4,SUV,QLD
BMW,2016,M235I,USED,Automatic,3.0,Rear,Premium,7.6,98210,6,Coupe,VIC
Holden,2011,Commodore,USED,Manual,3.6,Rear,Unleaded,10.2,159178,6,Ute / Tray,QLD
Toyota,2020,RAV4,USED,Automatic,2.5,Front,Hybrid,4.7,55490,4,SUV,VIC
Volkswagen,2013,Tiguan,USED,Automatic,2.0,AWD,Premium,8.8,99273,4,SUV,VIC
Nissan,2021,Navara,USED,Automatic,2.3,4WD,Diesel,7.9,44161,4,Ute / Tray,VIC
Toyota,2019,Kluger,USED,Automatic,3.5,AWD,Unleaded,9.5,57100,6,SUV,QLD
Mazda,2010,3,USED,Manual,2.2,Front,Diesel,5.7,136792,4,Hatchback,VIC
Toyota,2022,RAV4,USED,Automatic,2.0,Front,Unleaded,6.0,42085,4,SUV,VIC
Isuzu,2018,MU-X,USED,Automatic,3.0,4WD,Diesel,7.9,91995,4,SUV,VIC
Mitsubishi,2020,Outlander,USED,Automatic,2.4,AWD,Unleaded,7.2,56558,4,SUV,QLD
Ford,2012,Territory,USED,Automatic,2.7,AWD,Diesel,8.8,237191,6,SUV,VIC
Ford,2013,Ranger,USED,Automatic,3.2,4WD,Diesel,9.6,141000,5,Ute / Tray,QLD
BMW,2016,340I,USED,Automatic,3.0,Rear,Premium,6.8,72584,6,Sedan,VIC
Toyota,2012,FJ,USED,Automatic,4.0,4WD,Premium,11.4,232704,6,SUV,QLD
Mitsubishi,2018,ASX,USED,Automatic,2.0,Front,Unleaded,7.6,73760,4,SUV,VIC
MG,2022,MG3,USED,Automatic,1.5,Front,Premium,6.7,8442,4,Hatchback,VIC
Hyundai,2012,Veloster,USED,Automatic,1.6,Front,Unleaded,6.4,165000,4,Hatchback,QLD
Nissan,2018,X-Trail,USED,Automatic,2.5,4WD,Unleaded,8.3,113740,4,SUV,VIC
Toyota,2021,Hilux,USED,Automatic,2.8,4WD,Diesel,7.9,36968,4,Ute / Tray,VIC
Toyota,2020,Hilux,USED,Automatic,2.8,4WD,Diesel,7.9,35971,4,Ute / Tray,QLD
Volkswagen,2016,Touareg,USED,Automatic,4.1,AWD,Diesel,9.2,66889,8,SUV,VIC
BMW,2011,X6,USED,Automatic,4.4,AWD,Premium,12.5,168282,8,SUV,QLD
LDV,2018,T60,USED,Automatic,2.8,4WD,Diesel,9.6,34287,4,Ute / Tray,QLD
Toyota,2008,Tarago,USED,Automatic,2.4,Front,Unleaded,9.5,183135,4,Wagon,VIC
Land,2017,Rover,USED,Automatic,3.0,AWD,Premium,9.4,58800,6,SUV,VIC
Isuzu,2016,D-MAX,USED,Manual,3.0,4WD,Diesel,8.2,130259,4,Ute / Tray,QLD
Ford,2013,Territory,USED,Automatic,2.7,Rear,Diesel,8.2,182040,6,SUV,VIC
Hyundai,2014,I40,USED,Automatic,1.7,Front,Diesel,6.0,116169,4,Sedan,QLD
BMW,2015,X6,USED,Automatic,3.0,AWD,Diesel,6.0,122791,6,SUV,QLD
BMW,1990,M5,USED,Manual,3.5,Rear,Premium,18.1,115198,6,Sedan,VIC
Mitsubishi,2015,Triton,USED,Automatic,2.5,4WD,Diesel,9.6,281547,4,Ute / Tray,VIC
Hyundai,2017,Tucson,USED,Automatic,2.0,AWD,Diesel,6.8,73856,4,SUV,QLD
Mitsubishi,2022,Eclipse,USED,Automatic,1.5,Front,Unleaded,7.3,18687,4,SUV,QLD
Hyundai,2017,I30,USED,Automatic,1.6,Front,Unleaded,7.5,77758,4,Hatchback,VIC
MG,2019,3,USED,Automatic,1.5,Front,Premium,6.7,23900,4,Hatchback,QLD
Ssangyong,2021,Korando,USED,Automatic,1.5,Front,Unleaded,7.7,13313,4,SUV,VIC
Volkswagen,2021,Tiguan,USED,Automatic,1.4,Front,Premium,7.7,44618,4,SUV,VIC
Mazda,2022,CX-3,USED,Automatic,2.0,Front,Unleaded,6.3,18376,4,SUV,VIC
Toyota,2013,86,USED,Manual,2.0,Rear,Premium,7.8,67685,4,Coupe,QLD
Subaru,2012,Outback,USED,Automatic,2.5,AWD,Premium,8.4,236976,4,SUV,VIC
Mazda,2021,CX-30,USED,Automatic,2.0,Front,Unleaded,6.5,22985,4,SUV,QLD
Toyota,2021,Camry,USED,Automatic,2.5,Front,Hybrid,4.5,42098,4,Sedan,QLD
Mitsubishi,2012,Triton,USED,Automatic,2.5,4WD,Diesel,9.9,219367,4,Ute / Tray,VIC
Hyundai,2016,I30,USED,Automatic,1.8,Front,Unleaded,7.3,137198,4,Hatchback,VIC
GWM,2023,UTE,NEW,Automatic,2.0,4WD,Diesel,9.4,20,4,Ute / Tray,QLD
Ford,2019,Ranger,USED,Automatic,3.2,4WD,Diesel,8.9,90344,5,Ute / Tray,VIC
Hyundai,2019,Kona,USED,Automatic,1.6,AWD,Unleaded,6.7,40650,4,SUV,VIC
Toyota,2005,Kluger,USED,Automatic,3.3,4WD,Unleaded,12.3,148370,6,SUV,VIC
Mazda,2012,BT-50,USED,Manual,3.2,4WD,Diesel,8.9,225438,5,Ute / Tray,QLD
Subaru,2017,Impreza,USED,Automatic,2.0,AWD,Unleaded,7.2,127856,4,Hatchback,VIC
Toyota,2018,Camry,USED,Automatic,2.5,Front,Hybrid,4.2,92500,4,Sedan,VIC
Holden,2015,Captiva,USED,Automatic,2.2,AWD,Diesel,8.1,100441,4,SUV,QLD
Hyundai,2020,Palisade,USED,Automatic,2.2,AWD,Diesel,7.3,17333,4,SUV,VIC
Toyota,2018,RAV4,USED,Automatic,2.5,AWD,Unleaded,8.5,67458,4,SUV,VIC
Subaru,2005,Impreza,USED,Automatic,2.0,AWD,Unleaded,10.0,114251,4,Sedan,VIC
Hyundai,2017,Tucson,USED,Automatic,2.0,Front,Unleaded,7.9,100886,4,SUV,QLD
Kia,2017,Cerato,USED,Automatic,2.0,Front,Unleaded,7.1,98111,4,Sedan,VIC
Hyundai,2018,Tucson,USED,Automatic,1.6,AWD,Unleaded,7.7,189119,4,SUV,VIC
Mercedes-Benz,2013,E250,USED,Automatic,2.1,Rear,Diesel,4.9,193985,4,Sedan,VIC
Toyota,2011,Camry,USED,Automatic,2.4,Front,Unleaded,8.8,216161,4,Sedan,VIC
Toyota,2017,RAV4,USED,Automatic,2.5,AWD,Unleaded,8.5,91433,4,SUV,QLD
Volkswagen,2018,Golf,USED,Automatic,1.4,Front,Premium,5.4,44541,4,Hatchback,VIC
Lexus,2016,NX200T,USED,Automatic,2.0,AWD,Premium,7.9,70108,4,SUV,QLD
Hyundai,2017,I30,USED,Automatic,2.0,Front,Unleaded,7.4,86486,4,Hatchback,QLD
Hyundai,2016,Accent,USED,Automatic,1.6,Front,Unleaded,6.4,146287,4,Hatchback,VIC
Honda,2012,Civic,USED,Automatic,1.8,Front,Premium,6.5,105880,4,Hatchback,QLD
Hyundai,2020,I30,USED,Automatic,2.0,Front,Unleaded,7.4,57458,4,Hatchback,VIC
Honda,2015,HR-V,USED,Automatic,1.8,Front,Unleaded,6.9,84200,4,SUV,QLD
Subaru,2020,Outback,USED,Automatic,2.5,AWD,Unleaded,7.3,56482,4,SUV,QLD
Isuzu,2017,D-MAX,USED,Automatic,3.0,Rear,Diesel,7.5,144680,4,Ute / Tray,QLD
Mazda,2020,3,USED,Automatic,2.5,Front,Unleaded,6.5,12293,4,Sedan,VIC
Volkswagen,2013,Polo,USED,Automatic,1.2,Front,Premium,5.5,30901,4,Hatchback,VIC
Mazda,2018,CX-9,USED,Automatic,2.5,AWD,Unleaded,8.8,50725,4,SUV,QLD
Mazda,2016,3,USED,Automatic,2.0,Front,Unleaded,5.7,199802,4,Sedan,VIC
Toyota,2018,C-HR,USED,Automatic,1.2,Front,Premium,5.5,22616,4,SUV,VIC
Mitsubishi,2014,Lancer,USED,Automatic,2.4,Front,Unleaded,8.5,61052,4,Sedan,VIC
Mazda,2021,3,USED,Automatic,2.0,Front,Unleaded,6.2,29260,4,Hatchback,QLD
Ford,2020,Ranger,USED,Automatic,3.2,Rear,Diesel,8.2,79968,5,Ute / Tray,VIC
Toyota,2023,Corolla,USED,Automatic,2.0,Front,Unleaded,6.0,14,4,Hatchback,VIC
Holden,2017,Trailblazer,USED,Automatic,2.8,4WD,Diesel,8.6,51435,4,SUV,VIC
Hyundai,2014,IX35,USED,Automatic,2.0,Front,Unleaded,8.4,74978,4,SUV,QLD
Subaru,2007,Outback,USED,Manual,2.5,AWD,Unleaded,9.1,170857,4,SUV,QLD
Jeep,2013,Grand,USED,Automatic,3.6,4WD,Premium,10.4,137413,6,SUV,QLD
Audi,2015,SQ5,USED,Automatic,3.0,AWD,Diesel,6.8,134654,6,SUV,QLD
Honda,2021,CR-V,USED,Automatic,1.5,AWD,Unleaded,7.4,6703,4,SUV,VIC
Honda,2019,HR-V,USED,Automatic,1.8,Front,Unleaded,6.9,41846,4,SUV,VIC
Mitsubishi,2017,ASX,USED,Automatic,2.0,Front,Unleaded,7.4,26110,4,SUV,QLD
Audi,2017,Q5,USED,Automatic,2.0,AWD,Diesel,5.4,79505,4,SUV,QLD
Jeep,2011,Patriot,USED,Automatic,2.4,4WD,Unleaded,8.9,90104,4,SUV,VIC
Nissan,2014,Navara,USED,Automatic,2.5,4WD,Diesel,10.5,161125,4,Ute / Tray,VIC
Nissan,2014,Qashqai,USED,Automatic,2.0,Front,Unleaded,6.9,97380,4,SUV,VIC
GWM,2022,Haval,NEW,Automatic,2.0,Front,Premium,9.8,21,4,SUV,QLD
Hyundai,2009,Santa,USED,Automatic,2.2,4WD,Diesel,7.5,223081,4,SUV,QLD
Mitsubishi,2003,Pajero,USED,Automatic,3.5,4WD,Unleaded,14.6,192686,6,SUV,VIC
Kia,2018,Sorento,USED,Automatic,3.5,Front,Unleaded,10.0,84540,6,SUV,VIC
Mazda,2018,3,USED,Manual,2.5,Front,Unleaded,6.5,45535,4,Hatchback,VIC
Kia,2020,Sorento,USED,Automatic,2.2,AWD,Diesel,6.1,58995,4,SUV,QLD
Audi,2009,Q5,USED,Automatic,3.0,AWD,Diesel,7.5,198961,6,SUV,QLD
Toyota,2004,Echo,USED,Automatic,1.3,Front,Unleaded,6.7,164900,4,Hatchback,QLD
Audi,2016,A4,USED,Automatic,2.0,Front,Premium,5.3,74198,4,Sedan,VIC
Subaru,2022,Outback,USED,Automatic,2.5,AWD,Unleaded,7.3,14354,4,SUV,QLD
Kia,2001,Spectra,USED,Automatic,1.8,Front,Unleaded,9.5,120792,4,Hatchback,VIC
Audi,2015,A5,USED,Automatic,1.8,Front,Premium,5.9,111923,4,Hatchback,QLD
Hyundai,2018,Kona,USED,Automatic,2.0,Front,Unleaded,7.2,57967,4,SUV,QLD
Hyundai,2021,Sonata,USED,Automatic,2.5,Front,Unleaded,8.1,19063,4,Sedan,QLD
Toyota,2008,Kluger,USED,Automatic,3.5,4WD,Unleaded,11.0,255846,6,SUV,VIC
Jeep,2005,Grand,USED,Automatic,4.0,4WD,Unleaded,15.0,274642,6,SUV,VIC
Holden,2013,Commodore,USED,Automatic,3.0,Rear,Unleaded,8.3,153840,6,Sedan,QLD
Nissan,2013,X-Trail,USED,Automatic,2.0,Front,Unleaded,8.4,128287,4,SUV,VIC
Renault,2021,Koleos,USED,Automatic,2.5,Front,Unleaded,8.1,41622,4,SUV,VIC
Toyota,2021,Hilux,USED,Automatic,2.8,4WD,Diesel,8.4,28318,4,Ute / Tray,QLD
Kia,2018,Cerato,USED,Automatic,2.0,Front,Unleaded,7.3,33681,4,Hatchback,QLD
Isuzu,2013,D-MAX,USED,Manual,3.0,Rear,Diesel,8.0,290908,4,Ute / Tray,VIC
Mercedes-Benz,2017,C250,USED,Automatic,2.0,Rear,Premium,6.5,119439,4,Sedan,VIC
Volkswagen,2022,Golf,USED,Automatic,2.0,Front,Premium,7.0,16070,4,Hatchback,QLD
Volkswagen,2014,Passat,USED,Automatic,1.8,Front,Premium,7.5,181501,4,Wagon,VIC
Subaru,2018,Impreza,USED,Automatic,2.0,AWD,Unleaded,6.6,94497,4,Hatchback,QLD
BYD,2022,Atto,USED,Automatic,0.0,Front,Electric,0.0,923,0,SUV,VIC
Jeep,2013,Grand,USED,Automatic,3.0,4WD,Diesel,7.5,203000,6,SUV,VIC
Mitsubishi,2007,Lancer,USED,Manual,2.4,Front,Unleaded,9.4,154805,4,Sedan,VIC
Ford,2012,Focus,USED,Automatic,1.6,Front,Unleaded,6.6,128768,4,Hatchback,VIC
Nissan,2018,X-Trail,USED,Automatic,2.5,Front,Unleaded,7.9,85604,4,SUV,VIC
Toyota,2007,HiAce,USED,Automatic,3.0,Rear,Diesel,9.6,245124,4,People Mover,QLD
Toyota,2021,Camry,USED,Automatic,2.5,Front,Premium,6.8,53282,4,Sedan,VIC
Kia,2020,Cerato,USED,Automatic,2.0,Front,Unleaded,7.4,22029,4,Sedan,VIC
Hyundai,2015,Iload,USED,Automatic,2.5,Rear,Diesel,8.8,158140,4,Commercial,VIC
Mitsubishi,2019,Triton,USED,Automatic,2.4,4WD,Diesel,8.6,66677,4,Ute / Tray,VIC
Hyundai,2007,Tucson,USED,Automatic,2.0,Front,Unleaded,9.2,239417,4,SUV,VIC
BMW,2011,X3,USED,Automatic,2.0,4WD,Diesel,5.6,66616,4,SUV,VIC
Volkswagen,2015,Golf,USED,Automatic,2.0,Front,Premium,6.2,84175,4,Hatchback,QLD
Ford,2018,Ranger,USED,Automatic,2.2,Rear,Diesel,7.8,109070,4,Ute / Tray,QLD
Toyota,2007,Aurion,USED,Automatic,3.5,Front,Unleaded,9.9,207299,6,Sedan,QLD
Peugeot,2021,3008,USED,Automatic,1.6,Front,Premium,7.3,41892,4,SUV,VIC
Holden,2014,Colorado,USED,Automatic,2.8,Rear,Diesel,8.8,147323,4,Ute / Tray,QLD
Mercedes-Benz,2020,A35,USED,Automatic,2.0,AWD,Premium,7.6,35820,4,Hatchback,QLD
Toyota,2020,Yaris,USED,Automatic,1.3,Front,Unleaded,6.4,36296,4,Hatchback,VIC
Nissan,2017,X-Trail,USED,Automatic,2.5,Front,Unleaded,7.9,133738,4,SUV,QLD
Toyota,2015,Fortuner,USED,Manual,2.8,AWD,Diesel,7.8,118452,4,SUV,QLD
Kia,2020,Picanto,USED,Automatic,1.2,Front,Unleaded,5.8,22976,4,Hatchback,QLD
Hyundai,2009,I30,USED,Automatic,2.0,Front,Unleaded,7.6,173806,4,Hatchback,VIC
Audi,2013,A6,USED,Automatic,3.0,AWD,Diesel,6.4,132266,6,Sedan,VIC
Toyota,2020,Corolla,USED,Automatic,2.0,Front,Unleaded,6.0,56944,4,Hatchback,QLD
Holden,2017,Commodore,USED,Automatic,3.6,Rear,Unleaded,9.8,109208,6,Wagon,VIC
Hyundai,2021,I30,USED,Automatic,2.0,Front,Unleaded,7.4,37996,4,Hatchback,QLD
Subaru,2017,XV,USED,Automatic,2.0,AWD,Unleaded,7.0,69864,4,SUV,QLD
Toyota,2017,Camry,USED,Automatic,2.5,Front,Unleaded,8.3,292120,4,Sedan,VIC
Suzuki,2021,Baleno,USED,Automatic,1.4,Front,Unleaded,5.4,50953,4,Hatchback,QLD
Nissan,2012,Dualis,USED,Automatic,2.0,Front,Unleaded,8.5,390488,4,SUV,QLD
Jeep,2015,Grand,USED,Automatic,3.0,4WD,Diesel,7.5,126351,6,SUV,VIC
Holden,2007,Astra,USED,Automatic,1.8,Front,Unleaded,8.2,133718,4,Hatchback,VIC
Hyundai,2021,I30,USED,Automatic,2.0,Front,Unleaded,7.4,34537,4,Hatchback,QLD
Toyota,2014,RAV4,USED,Automatic,2.5,AWD,Unleaded,8.5,220547,4,SUV,VIC
Kia,2012,Sportage,USED,Automatic,2.0,AWD,Diesel,7.5,227803,4,SUV,VIC
Nissan,2017,Qashqai,USED,Automatic,2.0,Front,Unleaded,6.9,82655,4,SUV,VIC
Hyundai,2015,Tucson,USED,Automatic,2.0,Front,Unleaded,7.9,146240,4,SUV,VIC
Peugeot,2021,2008,USED,Automatic,1.2,Front,Premium,6.1,44064,3,SUV,VIC
Toyota,2018,Kluger,USED,Automatic,3.5,Front,Unleaded,9.1,96333,6,SUV,VIC
Kia,2022,Cerato,USED,Automatic,2.0,Front,Unleaded,7.4,15368,4,Hatchback,VIC
Holden,2015,Commodore,USED,Automatic,3.6,Rear,Unleaded,9.8,197158,6,Wagon,QLD
BMW,2011,X1,USED,Automatic,3.0,Rear,Premium,9.3,114009,6,SUV,VIC
Kia,2012,Grand,USED,Automatic,3.5,Front,Unleaded,10.9,263675,6,Wagon,VIC
Honda,2022,HR-V,USED,Automatic,1.5,Front,Unleaded,5.8,7555,4,SUV,VIC
Audi,2022,RS,DEMO,Automatic,2.5,AWD,Premium,8.9,2347,5,SUV,QLD
Nissan,2012,X-Trail,USED,Manual,2.0,Front,Unleaded,8.5,128000,4,SUV,QLD
Mitsubishi,2019,Triton,USED,Automatic,2.4,4WD,Diesel,7.5,71186,4,Ute / Tray,VIC
Mazda,2013,BT-50,USED,Manual,2.2,Rear,Diesel,7.6,194720,4,Ute / Tray,VIC
Kia,2022,Cerato,USED,Automatic,2.0,Front,Unleaded,7.4,35666,4,Hatchback,VIC
Mazda,2013,BT-50,USED,Automatic,3.2,4WD,Diesel,9.2,197536,5,Ute / Tray,VIC
Hyundai,2020,I30,USED,Automatic,2.0,Front,Unleaded,7.4,59197,4,Hatchback,VIC
Lexus,2016,GS350,USED,Automatic,3.5,Rear,Premium,10.0,86655,6,Sedan,VIC
Subaru,2018,Outback,USED,Automatic,2.5,AWD,Unleaded,7.3,163418,4,SUV,QLD
Hyundai,2010,IX35,USED,Automatic,2.4,AWD,Unleaded,9.2,169373,4,SUV,QLD
Toyota,2018,Landcruiser,USED,Automatic,2.8,4WD,Diesel,8.0,127175,4,SUV,VIC
Nissan,2021,X-Trail,USED,Automatic,2.5,Front,Unleaded,8.1,62208,4,SUV,VIC
Holden,2014,Cruze,USED,Automatic,1.6,Front,Unleaded,7.9,83500,4,Sedan,QLD
Mazda,2018,CX-9,USED,Automatic,2.5,Front,Unleaded,8.4,62775,4,SUV,VIC
Kia,2016,Sportage,USED,Automatic,2.0,AWD,Diesel,6.8,80150,4,SUV,QLD
Holden,2018,Equinox,USED,Automatic,2.0,AWD,Premium,8.4,101111,4,SUV,VIC
Toyota,2020,Hilux,USED,Manual,2.7,Rear,Unleaded,11.1,51204,4,Ute / Tray,QLD
Mercedes-Benz,2010,Vito,USED,Manual,2.1,Rear,Diesel,9.0,223225,4,Commercial,QLD
Toyota,2019,Landcruiser,USED,Automatic,2.8,4WD,Diesel,8.0,93742,4,SUV,QLD
Hyundai,2016,Iload,USED,Automatic,2.5,Rear,Diesel,8.8,157310,4,Commercial,QLD
BMW,2011,X3,USED,Automatic,2.0,4WD,Diesel,5.6,184556,4,SUV,QLD
Lexus,2016,IS200T,USED,Automatic,2.0,Rear,Premium,7.5,68031,4,Sedan,VIC
LDV,2021,G10+,USED,Manual,2.0,Rear,Diesel,8.3,13906,4,Commercial,QLD
Ford,2019,Ranger,USED,Automatic,2.0,4WD,Diesel,8.2,79145,4,Ute / Tray,VIC
Holden,2011,Commodore,USED,Automatic,3.6,Rear,Unleaded,10.1,178173,6,Sedan,QLD
Hyundai,2021,Kona,USED,Automatic,0.0,Front,Electric,0.0,26582,0,SUV,VIC
Nissan,2007,Patrol,USED,Automatic,3.0,4WD,Diesel,10.9,350000,4,SUV,QLD
Hyundai,2015,I30,USED,Manual,1.8,Front,Unleaded,6.8,170381,4,Hatchback,QLD
Toyota,2005,RAV4,USED,Automatic,2.4,4WD,Unleaded,9.7,253000,4,SUV,VIC
Lexus,2021,ES250,USED,Automatic,2.5,Front,Premium,6.8,18033,4,Sedan,VIC
Citroen,2015,Berlingo,USED,Automatic,1.6,Front,Diesel,4.7,202425,4,Commercial,VIC
Honda,2015,Odyssey,USED,Automatic,2.4,Front,Unleaded,7.8,75219,4,Wagon,VIC
Lexus,2015,NX200T,USED,Automatic,2.0,Front,Premium,7.7,142080,4,SUV,VIC
Holden,2007,Calais,USED,Automatic,3.6,Rear,Unleaded,11.0,162285,6,Sedan,QLD
Toyota,2020,RAV4,USED,Automatic,2.5,AWD,Hybrid,4.8,28620,4,SUV,VIC
Jeep,2021,Compass,USED,Automatic,2.4,Front,Unleaded,7.9,32285,4,SUV,VIC
Subaru,2020,Outback,USED,Automatic,2.5,AWD,Unleaded,7.3,58422,4,SUV,VIC
Nissan,2016,370Z,USED,Automatic,3.7,Rear,Premium,10.9,42651,6,Convertible,QLD
Ford,2017,Ranger,USED,Automatic,3.2,4WD,Diesel,9.0,99884,5,Ute / Tray,QLD
Toyota,2021,Camry,USED,Automatic,2.5,Front,Hybrid,4.2,45943,4,Sedan,VIC
Mitsubishi,2017,Triton,USED,Automatic,2.4,4WD,Diesel,7.6,195312,4,Ute / Tray,QLD
Jeep,2022,Compass,USED,Automatic,2.4,4WD,Unleaded,7.9,7632,4,SUV,QLD
Subaru,2020,Forester,USED,Automatic,2.5,AWD,Unleaded,7.4,54641,4,SUV,VIC
MG,2021,MG3,USED,Automatic,1.5,Front,Premium,6.7,20827,4,Hatchback,VIC
Mazda,2019,CX-5,USED,Automatic,2.5,AWD,Unleaded,7.5,65672,4,SUV,QLD
MG,2022,HS,USED,Automatic,1.5,Front,Unleaded,7.3,2478,4,SUV,QLD
LDV,2021,D90,USED,Automatic,2.0,4WD,Diesel,9.1,82977,4,SUV,QLD
Toyota,2021,Hilux,USED,Automatic,2.8,4WD,Diesel,8.4,20097,4,Ute / Tray,VIC
Holden,2016,Calais,USED,Automatic,3.6,Rear,Unleaded,9.5,113654,6,Sedan,QLD
Jeep,2023,Wrangler,NEW,Automatic,3.6,4WD,Unleaded,10.3,28,6,SUV,VIC
Subaru,2018,Forester,USED,Automatic,2.5,AWD,Unleaded,7.4,62133,4,SUV,VIC
Toyota,2023,Landcruiser,USED,Automatic,2.8,4WD,Diesel,7.9,92,4,SUV,QLD
Subaru,2013,Forester,USED,Automatic,2.5,AWD,Unleaded,8.1,103203,4,SUV,VIC
Kia,2020,RIO,USED,Automatic,1.4,Front,Unleaded,6.2,44523,4,Hatchback,VIC
Toyota,2015,Hilux,USED,Automatic,2.8,4WD,Diesel,9.0,196936,4,Ute / Tray,VIC
Toyota,2017,Hilux,USED,Automatic,2.7,Rear,Unleaded,10.4,77946,4,Ute / Tray,VIC
Hyundai,2017,I30,USED,Automatic,2.0,Front,Unleaded,7.4,63225,4,Hatchback,VIC
Holden,2014,Cruze,USED,Manual,1.6,Front,Unleaded,7.4,90200,4,Hatchback,QLD
Mitsubishi,2012,Outlander,USED,Automatic,2.0,Front,Unleaded,6.6,248791,4,SUV,VIC
Toyota,2021,Corolla,USED,Automatic,2.0,Front,Unleaded,6.0,15958,4,Hatchback,VIC
Mazda,2010,CX-7,USED,Automatic,2.5,Front,Unleaded,9.4,172614,4,SUV,VIC
Hyundai,2021,I30,USED,Automatic,2.0,Front,Unleaded,7.4,29444,4,Hatchback,QLD
Nissan,2013,Patrol,USED,Manual,3.0,4WD,Diesel,10.9,161830,4,SUV,VIC
Mitsubishi,2015,Pajero,USED,Automatic,3.2,4WD,Diesel,9.0,63551,4,SUV,VIC
Isuzu,2018,D-MAX,USED,Automatic,3.0,Rear,Diesel,7.7,177839,4,Ute / Tray,QLD
Jeep,2006,Grand,USED,Automatic,3.0,4WD,Diesel,16.0,211770,6,SUV,QLD
