Brand,Year,Model,UsedOrNew,Transmission,EngineDisplacement(L),DriveType,FuelType,FuelConsumption(L)/100km,Kilometers,CylindersinEngine,BodyType,State
Mitsubishi,2013,Lancer,USED,Automatic,2.0,Front,Unleaded,7.3,73421,4,Hatchback,NSW
Toyota,2009,Camry,USED,Automatic,2.4,Front,Unleaded,9.9,155135,4,Sedan,NSW
Hyundai,2013,I20,USED,Automatic,1.4,Front,Unleaded,6.4,123330,4,Hatchback,NSW
Mitsubishi,2014,Lancer,USED,Automatic,2.4,Front,Unleaded,8.9,44249,4,Hatchback,NSW
Mazda,2018,2,USED,Automatic,1.5,Front,Unleaded,4.9,27100,4,Hatchback,NSW
Mazda,2009,3,USED,Automatic,2.0,Front,Unleaded,8.2,70661,4,Hatchback,NSW
Mitsubishi,2014,Triton,USED,Automatic,2.5,4WD,Diesel,9.3,215100,4,Ute / Tray,NSW
Volkswagen,2014,Golf,USED,Automatic,1.4,Front,Premium,5.4,155036,4,Hatchback,NSW
BMW,2012,M135I,USED,Automatic,3.0,Rear,Premium,7.5,67678,6,Hatchback,NSW
Holden,2015,Commodore,USED,Automatic,3.6,Rear,Unleaded,9.8,133934,6,Wagon,NSW
Volkswagen,2008,Golf,USED,Automatic,2.0,Front,Premium,8.0,174915,4,Hatchback,NSW
Holden,2014,Cruze,USED,Automatic,1.8,Front,Unleaded,7.4,117000,4,Sedan,NSW
Hyundai,2018,Imax,USED,Automatic,2.5,Rear,Diesel,8.8,190176,4,Wagon,NSW
Mitsubishi,2013,Triton,USED,Manual,2.5,4WD,Diesel,9.1,231675,4,Ute / Tray,NSW
BMW,2021,330I,USED,Automatic,2.0,Rear,Premium,6.4,23332,4,Sedan,NSW
Volkswagen,2018,Golf,USED,Automatic,1.4,Front,Premium,5.6,130647,4,Wagon,NSW
Audi,2019,Q3,USED,Automatic,1.4,Front,Premium,7.2,47307,4,SUV,NSW
Subaru,2016,Outback,USED,Automatic,2.5,AWD,Premium,7.3,74983,4,SUV,NSW
Mazda,2007,6,USED,Manual,2.3,Front,Premium,8.8,102496,4,Hatchback,NSW
Hyundai,2015,Accent,USED,Automatic,1.6,Front,Unleaded,6.4,84924,4,Hatchback,NSW
Land,2013,Rover,USED,Automatic,3.0,4WD,Diesel,8.8,159558,6,SUV,NSW
Ford,2013,Focus,USED,Automatic,1.6,Front,Unleaded,6.6,67590,4,Hatchback,NSW
Kia,2017,Sportage,USED,Automatic,2.4,AWD,Unleaded,8.5,65502,4,SUV,NSW
Porsche,2010,Cayenne,USED,Automatic,4.8,AWD,Premium,10.5,193271,8,SUV,NSW
Porsche,2016,Cayman,USED,Manual,3.8,Rear,Premium,10.3,23481,6,Coupe,NSW
Ford,2007,Territory,USED,Automatic,4.0,AWD,Unleaded,12.2,173839,6,SUV,NSW
Nissan,2016,Navara,USED,Automatic,2.3,4WD,Diesel,7.0,258936,4,Ute / Tray,NSW
Toyota,2013,RAV4,USED,Automatic,2.2,AWD,Diesel,6.5,292134,4,SUV,NSW
Toyota,2008,Hilux,USED,Automatic,3.0,4WD,Diesel,9.5,251000,4,Ute / Tray,NSW
Mazda,2014,3,USED,Automatic,2.0,Front,Unleaded,5.8,130242,4,Hatchback,NSW
Hyundai,2021,Venue,USED,Automatic,1.6,Front,Unleaded,7.2,35024,4,SUV,NSW
BMW,2015,X1,USED,Automatic,2.0,AWD,Diesel,5.1,44145,4,SUV,NSW
BMW,2021,330I,USED,Automatic,2.0,Rear,Premium,6.4,29567,4,Sedan,NSW
Mazda,2007,6,USED,Automatic,2.3,Front,Premium,8.9,223898,4,Hatchback,NSW
Hyundai,2013,Veloster,USED,Automatic,1.6,Front,Unleaded,6.4,155244,4,Hatchback,NSW
Toyota,2017,Camry,USED,Automatic,2.5,Front,Unleaded,7.9,149988,4,Sedan,NSW
Mitsubishi,2011,Lancer,USED,Automatic,2.0,Front,Unleaded,7.3,205373,4,Hatchback,NSW
BMW,2020,M4,USED,Automatic,3.0,Rear,Premium,8.8,2858,6,Coupe,NSW
Suzuki,2011,Swift,USED,Automatic,1.4,Front,Unleaded,6.2,201011,4,Hatchback,NSW
Ford,2008,Transit,USED,Manual,2.4,Rear,Diesel,9.5,305593,4,Commercial,NSW
Peugeot,2017,308,USED,Automatic,1.2,Front,Premium,5.1,57217,3,Hatchback,NSW
Holden,2017,Trax,USED,Automatic,1.4,Front,Unleaded,6.9,83147,4,SUV,NSW
Mitsubishi,2015,Triton,USED,Automatic,2.5,4WD,Diesel,9.3,204000,4,Ute / Tray,NSW
Subaru,2013,Forester,USED,Manual,2.0,AWD,Unleaded,7.2,122077,4,SUV,NSW
Mazda,2015,CX-3,USED,Automatic,2.0,Front,Unleaded,6.1,60581,4,SUV,NSW
Nissan,2010,Navara,USED,Manual,2.5,4WD,Diesel,9.8,259488,4,Ute / Tray,NSW
Holden,2017,Captiva,USED,Automatic,2.4,Front,Unleaded,9.0,186954,4,SUV,NSW
Kia,2017,Cerato,USED,Automatic,2.0,Front,Unleaded,7.1,21350,4,Hatchback,NSW
Audi,2016,RS3,USED,Automatic,2.5,AWD,Premium,8.1,47926,5,Hatchback,NSW
Mitsubishi,2014,Triton,USED,Manual,2.5,Rear,Diesel,8.0,88861,4,Ute / Tray,NSW
Jeep,2007,Grand,USED,Automatic,3.0,4WD,Diesel,16.0,199000,6,SUV,NSW
Mercedes-Benz,2018,C200,USED,Automatic,2.0,Rear,Hybrid,6.5,72540,4,Sedan,NSW
Toyota,2020,Corolla,USED,Automatic,1.8,Front,Hybrid,4.2,87043,4,Hatchback,NSW
